OD,Client(s),Normalized
"OD-1481","KORI TRANSPORT","KORI TRANSPORT"
"OD-1480","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-1479","EJARA","EJARA"
"OD-1478","CHURN/TEST","CHURN/TEST"
"OD-1476","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1474","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1473","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1472","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1471","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1470","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1468","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1467","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1466","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1465","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1464","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1463","FALCON","FALCON"
"OD-1462","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1461","KORI TRANSPORT","KORI TRANSPORT"
"OD-1460","FALCON","FALCON"
"OD-1459","ALL","ALL"
"OD-1458","SIS","SIS"
"OD-1456","ONPOINT","ONPOINT"
"OD-1455","SIS","SIS"
"OD-1454","SIS","SIS"
"OD-1453","LABOGEM","LABOGEM"
"OD-1452","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1451","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1450","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1449","ALL","ALL"
"OD-1448","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1447","SIS","SIS"
"OD-1446","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1445","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1444","S-TEL","S-TEL"
"OD-1443","S-TEL","S-TEL"
"OD-1442","S-TEL","S-TEL"
"OD-1441","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1440","SIS","SIS"
"OD-1439","SIS","SIS"
"OD-1438","ETRAKOM-CI","ETRAKOM-CI"
"OD-1437","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1435","FALCON","FALCON"
"OD-1434","FALCON","FALCON"
"OD-1433","ONPOINT","ONPOINT"
"OD-1432","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1430","SIT BTP","SIT BTP"
"OD-1428","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1425","ALL","ALL"
"OD-1424","ALL","ALL"
"OD-1423","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1422","ALL","ALL"
"OD-1421","ALL","ALL"
"OD-1420","ALL","ALL"
"OD-1419","KOFFI & DIABATE","KOFFI & DIABATE"
"OD-1414","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-1410","ONPOINT","ONPOINT"
"OD-1403","ONPOINT","ONPOINT"
"OD-1398","ONPOINT","ONPOINT"
"OD-1392","ALL","ALL"
"OD-1383","KORI TRANSPORT","KORI TRANSPORT"
"OD-1381","ALL","ALL"
"OD-1372","FALCON","FALCON"
"OD-1366","ONPOINT","ONPOINT"
"OD-1363","S-TEL","S-TEL"
"OD-1362","ONPOINT","ONPOINT"
"OD-1361","SERTEM","SERTEM"
"OD-1359","CILAGRI","CILAGRI"
"OD-1358","CILAGRI","CILAGRI"
"OD-1354","KORI TRANSPORT","KORI TRANSPORT"
"OD-1349","EGBV","EGBV"
"OD-1343","CILAGRI","CILAGRI"
"OD-1337","ONPOINT","ONPOINT"
"OD-1335","CILAGRI","CILAGRI"
"OD-1332","CILAGRI","CILAGRI"
"OD-1331","CILAGRI","CILAGRI"
"OD-1330","CILAGRI","CILAGRI"
"OD-1329","CILAGRI","CILAGRI"
"OD-1328","CILAGRI","CILAGRI"
"OD-1327","KORI TRANSPORT","KORI TRANSPORT"
"OD-1325","FIRST CAPITAL","FIRST CAPITAL"
"OD-1319","ALL","ALL"
"OD-1314","ONPOINT","ONPOINT"
"OD-1308","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1305","SIS","SIS"
"OD-1302","ALL","ALL"
"OD-1292","EDIPRESSE","EDIPRESSE"
"OD-1278","ALL","ALL"
"OD-1277","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1274","SIS","SIS"
"OD-1261","ALL","ALL"
"OD-1259","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-1249","ETRAKOM-CI","ETRAKOM-CI"
"OD-1238","SERTEM","SERTEM"
"OD-1237","KORI TRANSPORT","KORI TRANSPORT"
"OD-1233","EGBV","EGBV"
"OD-1231","FALCON","FALCON"
"OD-1221","ETRAKOM-CI","ETRAKOM-CI"
"OD-1219","ETRAKOM-CI","ETRAKOM-CI"
"OD-1214","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-1209","SERTEM","SERTEM"
"OD-1202","ETRAKOM-CI","ETRAKOM-CI"
"OD-1200","KORI TRANSPORT","KORI TRANSPORT"
"OD-1196","ETRAKOM-CI","ETRAKOM-CI"
"OD-1193","S-TEL","S-TEL"
"OD-1175","FIRST CAPITAL","FIRST CAPITAL"
"OD-1172","ETRAKOM-CI","ETRAKOM-CI"
"OD-1166","ALL","ALL"
"OD-1164","SIS","SIS"
"OD-1148","ONPOINT","ONPOINT"
"OD-1147","ETRAKOM-CI","ETRAKOM-CI"
"OD-1146","MATRELEC","MATRELEC"
"OD-1145","ETRAKOM-CI","ETRAKOM-CI"
"OD-1144","ETRAKOM-CI","ETRAKOM-CI"
"OD-904","SERTEM","SERTEM"
"OD-903","SERTEM","SERTEM"
"OD-902","SERTEM","SERTEM"
"OD-900","SERTEM","SERTEM"
"OD-898","SERTEM","SERTEM"
"OD-897","FALCON","FALCON"
"OD-895","ALL","ALL"
"OD-894","CIP","CIP"
"OD-891","EJARA","EJARA"
"OD-890","ONPOINT","ONPOINT"
"OD-889","ONPOINT","ONPOINT"
"OD-885","ONPOINT","ONPOINT"
"OD-883","KORI TRANSPORT","KORI TRANSPORT"
"OD-880","FALCON","FALCON"
"OD-878","LABOGEM","LABOGEM"
"OD-875","ONPOINT","ONPOINT"
"OD-874","IPT","IPT"
"OD-873","ETRAKOM-CI","ETRAKOM-CI"
"OD-872","ETRAKOM-CI","ETRAKOM-CI"
"OD-870","SIS","SIS"
"OD-869","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-868","S-TEL","S-TEL"
"OD-867","ENVAL LABORATOIRE","ENVAL LABORATOIRE"
"OD-866","SIS","SIS"
"OD-865","ENVAL LABORATOIRE","ENVAL LABORATOIRE"
"OD-864","KORI TRANSPORT","KORI TRANSPORT"
"OD-863","KORI TRANSPORT","KORI TRANSPORT"
"OD-862","LABOGEM","LABOGEM"
"OD-861","ALL","ALL"
"OD-860","S-TEL","S-TEL"
"OD-859","ROADMAP","ROADMAP"
"OD-858","SIS","SIS"
"OD-857","ALL","ALL"
"OD-856","ALL","ALL"
"OD-854","ALL","ALL"
"OD-853","ALL","ALL"
"OD-852","ALL","ALL"
"OD-851","S-TEL","S-TEL"
"OD-850","ALL","ALL"
"OD-849","S-TEL","S-TEL"
"OD-848","SIS","SIS"
"OD-847","S-TEL","S-TEL"
"OD-845","S-TEL","S-TEL"
"OD-844","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-841","SIS","SIS"
"OD-839","SIS","SIS"
"OD-838","SIS","SIS"
"OD-837","ETRAKOM-CI","ETRAKOM-CI"
"OD-836","S-TEL","S-TEL"
"OD-835","S-TEL","S-TEL"
"OD-834","KORI TRANSPORT","KORI TRANSPORT"
"OD-833","LABOGEM","LABOGEM"
"OD-832","SIS","SIS"
"OD-831","S-TEL","S-TEL"
"OD-830","KORI TRANSPORT","KORI TRANSPORT"
"OD-828","ONPOINT","ONPOINT"
"OD-827","ONPOINT","ONPOINT"
"OD-826","ONPOINT","ONPOINT"
"OD-825","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-824","KORI TRANSPORT","KORI TRANSPORT"
"OD-823","KORI TRANSPORT","KORI TRANSPORT"
"OD-822","ONPOINT","ONPOINT"
"OD-821","SIS","SIS"
"OD-820","S-TEL","S-TEL"
"OD-819","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-818","ONPOINT","ONPOINT"
"OD-817","JOEL K PROPERTIES","JOEL K PROPERTIES"
"OD-816","KORI TRANSPORT","KORI TRANSPORT"
"OD-814","ETRAKOM-CI","ETRAKOM-CI"
"OD-813","HC CAPITAL PROPERTIES","HC CAPITAL PROPERTIES"
"OD-812","MATRELEC","MATRELEC"
"OD-811","S-TEL","S-TEL"
"OD-809","IPT","IPT"
"OD-808","FALCON","FALCON"
"OD-807","ONPOINT","ONPOINT"
"OD-805","FALCON","FALCON"
"OD-803","SIS","SIS"
"OD-802","SIS","SIS"
"OD-801","ONPOINT","ONPOINT"
"OD-800","ONPOINT","ONPOINT"
"OD-799","VENUS DISTRIBUTION","VENUS DISTRIBUTION"
"OD-798","FALCON","FALCON"
"OD-797","S-TEL","S-TEL"
"OD-796","FALCON","FALCON"
"OD-795","KORI TRANSPORT","KORI TRANSPORT"
"OD-794","KORI TRANSPORT","KORI TRANSPORT"
"OD-793","AFRIC URBA","AFRIC URBA"
"OD-792","S-TEL","S-TEL"
"OD-791","KORI TRANSPORT","KORI TRANSPORT"
"OD-790","S-TEL","S-TEL"
"OD-789","ONPOINT","ONPOINT"
"OD-788","FALCON","FALCON"
"OD-786","ONPOINT","ONPOINT"
"OD-785","FALCON","FALCON"
"OD-784","FALCON","FALCON"
"OD-783","ONPOINT","ONPOINT"
"OD-782","ONPOINT","ONPOINT"
"OD-779","FALCON","FALCON"
"OD-778","SERTEM","SERTEM"
"OD-775","S-TEL","S-TEL"
"OD-774","S-TEL","S-TEL"
"OD-773","S-TEL","S-TEL"
"OD-772","KORI TRANSPORT","KORI TRANSPORT"
"OD-770","ETRAKOM-CI","ETRAKOM-CI"
"OD-769","LABOGEM","LABOGEM"
"OD-768","ONPOINT","ONPOINT"
"OD-767","S-TEL","S-TEL"
"OD-766","ONPOINT","ONPOINT"
"OD-765","FALCON","FALCON"
"OD-764","FALCON","FALCON"
"OD-763","ETRAKOM-CI","ETRAKOM-CI"
"OD-762","FALCON","FALCON"
"OD-761","FALCON","FALCON"
"OD-760","SERTEM","SERTEM"
"OD-757","KORI TRANSPORT","KORI TRANSPORT"
"OD-754","ALL","ALL"
"OD-753","ALL","ALL"
"OD-751","LABOGEM","LABOGEM"
"OD-735","LABOGEM","LABOGEM"
"OD-732","ALL","ALL"
"OD-731","ALL","ALL"
"OD-730","ALL","ALL"
"OD-729","ALL","ALL"
"OD-728","ALL","ALL"
"OD-727","ALL","ALL"
"OD-726","ALL","ALL"
"OD-725","ALL","ALL"
"OD-724","ALL","ALL"
"OD-723","ALL","ALL"
"OD-722","ALL","ALL"
"OD-721","ALL","ALL"
"OD-720","ALL","ALL"
"OD-719","ALL","ALL"
"OD-718","ALL","ALL"
"OD-717","ALL","ALL"
"OD-715","ALL","ALL"
"OD-714","ALL","ALL"
"OD-713","ALL","ALL"
"OD-712","ALL","ALL"
"OD-711","ALL","ALL"
"OD-710","ALL","ALL"
"OD-709","ALL","ALL"
"OD-708","ALL","ALL"
"OD-707","ALL","ALL"
"OD-706","ALL","ALL"
"OD-705","ALL","ALL"
"OD-704","ALL","ALL"
"OD-703","ALL","ALL"
"OD-702","ALL","ALL"
"OD-701","ALL","ALL"
"OD-697","ALL","ALL"
"OD-695","HC CAPITAL PROPERTIES","HC CAPITAL PROPERTIES"
"OD-694","ALL","ALL"
"OD-693","ALL","ALL"
"OD-671","S-TEL","S-TEL"
"OD-670","S-TEL","S-TEL"
"OD-669","SERTEM","SERTEM"
"OD-668","ONPOINT","ONPOINT"
"OD-667","KORI TRANSPORT","KORI TRANSPORT"
"OD-666","IPT","IPT"
"OD-665","ARIC","ARIC"
"OD-664","ALL","ALL"
"OD-663","ROADMAP","ROADMAP"
"OD-662","TEAM SUPPORT","TEAM SUPPORT"
"OD-661","TEAM SUPPORT","TEAM SUPPORT"
"OD-660","TEAM SUPPORT","TEAM SUPPORT"
"OD-659","KORI TRANSPORT","KORI TRANSPORT"
"OD-658","CILAGRI","CILAGRI"
"OD-656","ROADMAP","ROADMAP"
"OD-655","ROADMAP","ROADMAP"
"OD-654","ROADMAP","ROADMAP"
"OD-653","ROADMAP","ROADMAP"
"OD-652","ROADMAP","ROADMAP"
"OD-651","ROADMAP","ROADMAP"
"OD-650","ROADMAP","ROADMAP"
"OD-649","ROADMAP","ROADMAP"
"OD-648","ROADMAP","ROADMAP"
"OD-647","ROADMAP","ROADMAP"
"OD-646","ROADMAP","ROADMAP"
"OD-645","ROADMAP","ROADMAP"
"OD-644","ROADMAP","ROADMAP"
"OD-643","ALL","ALL"
"OD-641","ROADMAP","ROADMAP"
"OD-640","ROADMAP","ROADMAP"
"OD-639","ROADMAP","ROADMAP"
"OD-638","ROADMAP","ROADMAP"
"OD-637","TEAM SUPPORT","TEAM SUPPORT"
"OD-636","TEAM SUPPORT","TEAM SUPPORT"
"OD-635","TEAM SUPPORT","TEAM SUPPORT"
"OD-634","TEAM SUPPORT","TEAM SUPPORT"
"OD-633","TEAM SUPPORT","TEAM SUPPORT"
"OD-632","TEAM SUPPORT","TEAM SUPPORT"
"OD-631","TEAM SUPPORT","TEAM SUPPORT"
"OD-630","TEAM SUPPORT","TEAM SUPPORT"
"OD-629","TEAM SUPPORT","TEAM SUPPORT"
"OD-628","TEAM SUPPORT","TEAM SUPPORT"
"OD-627","EGBV","EGBV"
"OD-626","S-TEL","S-TEL"
"OD-625","S-TEL","S-TEL"
"OD-624","S-TEL","S-TEL"
"OD-623","S-TEL","S-TEL"
"OD-620","S-TEL","S-TEL"
"OD-618","S-TEL","S-TEL"
"OD-617","S-TEL","S-TEL"
"OD-616","S-TEL","S-TEL"
"OD-615","S-TEL","S-TEL"
"OD-614","S-TEL","S-TEL"
"OD-613","S-TEL","S-TEL"
"OD-612","S-TEL","S-TEL"
"OD-611","S-TEL","S-TEL"
"OD-610","S-TEL","S-TEL"
"OD-609","S-TEL","S-TEL"
"OD-608","S-TEL","S-TEL"
"OD-607","S-TEL","S-TEL"
"OD-606","S-TEL","S-TEL"
"OD-605","S-TEL","S-TEL"
"OD-604","S-TEL","S-TEL"
"OD-603","S-TEL","S-TEL"
"OD-601","S-TEL","S-TEL"
"OD-600","S-TEL","S-TEL"
"OD-599","S-TEL","S-TEL"
"OD-598","S-TEL","S-TEL"
"OD-597","S-TEL","S-TEL"
"OD-596","S-TEL","S-TEL"
"OD-595","S-TEL","S-TEL"
"OD-594","S-TEL","S-TEL"
"OD-593","S-TEL","S-TEL"
"OD-591","S-TEL","S-TEL"
"OD-590","S-TEL","S-TEL"
"OD-589","SIS","SIS"
"OD-588","SIS","SIS"
"OD-587","SIS","SIS"
"OD-586","SIS","SIS"
"OD-585","SIS","SIS"
"OD-583","SIS","SIS"
"OD-582","SIS","SIS"
"OD-581","SIS","SIS"
"OD-580","SERTEM","SERTEM"
"OD-579","SERTEM","SERTEM"
"OD-578","ROCFED","ROCFED"
"OD-577","ROADMAP","ROADMAP"
"OD-576","ROADMAP","ROADMAP"
"OD-573","ROADMAP","ROADMAP"
"OD-572","ROADMAP","ROADMAP"
"OD-571","ROADMAP","ROADMAP"
"OD-570","ROADMAP","ROADMAP"
"OD-569","ROADMAP","ROADMAP"
"OD-568","ROADMAP","ROADMAP"
"OD-567","ROADMAP","ROADMAP"
"OD-566","ROADMAP","ROADMAP"
"OD-565","ROADMAP","ROADMAP"
"OD-564","ROADMAP","ROADMAP"
"OD-563","ROADMAP","ROADMAP"
"OD-562","ROADMAP","ROADMAP"
"OD-561","ROADMAP","ROADMAP"
"OD-560","ROADMAP","ROADMAP"
"OD-559","ROADMAP","ROADMAP"
"OD-558","ROADMAP","ROADMAP"
"OD-557","ROADMAP","ROADMAP"
"OD-556","ROADMAP","ROADMAP"
"OD-555","ROADMAP","ROADMAP"
"OD-554","ROADMAP","ROADMAP"
"OD-553","ROADMAP","ROADMAP"
"OD-552","ROADMAP","ROADMAP"
"OD-551","ROADMAP","ROADMAP"
"OD-550","ROADMAP","ROADMAP"
"OD-549","ROADMAP","ROADMAP"
"OD-548","ROADMAP","ROADMAP"
"OD-547","ROADMAP","ROADMAP"
"OD-546","ROADMAP","ROADMAP"
"OD-545","PROPERTY KRO","PROPERTY KRO"
"OD-544","PROPERTY KRO","PROPERTY KRO"
"OD-543","ONPOINT","ONPOINT"
"OD-542","ONPOINT","ONPOINT"
"OD-540","ONPOINT","ONPOINT"
"OD-539","ONPOINT","ONPOINT"
"OD-538","ONPOINT","ONPOINT"
"OD-537","ONPOINT","ONPOINT"
"OD-536","ALL","ALL"
"OD-535","ONPOINT","ONPOINT"
"OD-534","ONPOINT","ONPOINT"
"OD-533","ONPOINT","ONPOINT"
"OD-532","ONPOINT","ONPOINT"
"OD-531","ONPOINT","ONPOINT"
"OD-530","ONPOINT","ONPOINT"
"OD-529","ONPOINT","ONPOINT"
"OD-528","ONPOINT","ONPOINT"
"OD-527","NOAH","NOAH"
"OD-526","MYKA","MYKA"
"OD-525","MATRELEC","MATRELEC"
"OD-524","MATRELEC","MATRELEC"
"OD-523","MATRELEC","MATRELEC"
"OD-522","MATRELEC","MATRELEC"
"OD-521","MATRELEC","MATRELEC"
"OD-520","LABOGEM","LABOGEM"
"OD-519","LABOGEM","LABOGEM"
"OD-518","LABOGEM","LABOGEM"
"OD-517","KORI TRANSPORT","KORI TRANSPORT"
"OD-516","KORI TRANSPORT","KORI TRANSPORT"
"OD-515","KORI TRANSPORT","KORI TRANSPORT"
"OD-514","KORI TRANSPORT","KORI TRANSPORT"
"OD-512","KORI TRANSPORT","KORI TRANSPORT"
"OD-511","KORI TRANSPORT","KORI TRANSPORT"
"OD-510","KORI TRANSPORT","KORI TRANSPORT"
"OD-509","KORI TRANSPORT","KORI TRANSPORT"
"OD-508","KORI TRANSPORT","KORI TRANSPORT"
"OD-507","KORI TRANSPORT","KORI TRANSPORT"
"OD-506","KORI TRANSPORT","KORI TRANSPORT"
"OD-505","KORI TRANSPORT","KORI TRANSPORT"
"OD-504","KORI TRANSPORT","KORI TRANSPORT"
"OD-503","JOEL K PERFORMANCE","JOEL K PERFORMANCE"
"OD-502","JOEL K PERFORMANCE","JOEL K PERFORMANCE"
"OD-501","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-500","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-499","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-498","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-497","IVOIRE DEVELOPPEMENT","IVOIRE DEVELOPPEMENT"
"OD-496","IPT","IPT"
"OD-495","HC CAPITAL PROPERTIES","HC CAPITAL PROPERTIES"
"OD-494","FIRST CAPITAL","FIRST CAPITAL"
"OD-493","FIRST CAPITAL","FIRST CAPITAL"
"OD-492","FALCON","FALCON"
"OD-491","FALCON","FALCON"
"OD-490","FALCON","FALCON"
"OD-489","FALCON","FALCON"
"OD-488","FALCON","FALCON"
"OD-487","FALCON","FALCON"
"OD-486","ETRAKOM-CI","ETRAKOM-CI"
"OD-485","ETRAKOM-CI","ETRAKOM-CI"
"OD-484","ETRAKOM-CI","ETRAKOM-CI"
"OD-483","ETRAKOM-CI","ETRAKOM-CI"
"OD-482","ETRAKOM-CI","ETRAKOM-CI"
"OD-481","ENVAL LABORATOIRE","ENVAL LABORATOIRE"
"OD-480","ENVAL LABORATOIRE","ENVAL LABORATOIRE"
"OD-479","ENVAL LABORATOIRE","ENVAL LABORATOIRE"
"OD-477","ELIO GROUP","ELIO GROUP"
"OD-476","ELIO GROUP","ELIO GROUP"
"OD-474","EJARA","EJARA"
"OD-473","EJARA","EJARA"
"OD-472","EJARA","EJARA"
"OD-471","EJARA","EJARA"
"OD-470","EJARA","EJARA"
"OD-469","EJARA","EJARA"
"OD-468","EJARA","EJARA"
"OD-467","EGBV","EGBV"
"OD-466","EGBV","EGBV"
"OD-465","EGBV","EGBV"
"OD-464","EGBV","EGBV"
"OD-463","EGBV","EGBV"
"OD-462","EGBV","EGBV"
"OD-461","EDIPRESSE","EDIPRESSE"
"OD-460","CILAGRI","CILAGRI"
"OD-459","CILAGRI","CILAGRI"
"OD-458","CILAGRI","CILAGRI"
"OD-457","ARIC","ARIC"
"OD-456","ARIC","ARIC"
"OD-455","ARIC","ARIC"
"OD-454","ARIC","ARIC"
"OD-453","ARIC","ARIC"
"OD-452","ARIC","ARIC"
"OD-451","ARIC","ARIC"
"OD-450","ALL","ALL"
"OD-449","ALL","ALL"
"OD-448","ALL","ALL"
"OD-447","ALL","ALL"
"OD-446","ALL","ALL"
"OD-445","ALL","ALL"
"OD-444","ALL","ALL"
"OD-443","ALL","ALL"
"OD-442","ALL","ALL"