Ligne,Ticket,Module Identifié,Action,Résumé
"10","OD-2951","Finance","Conserver","Finance/Comptabilité Générale/Historique des imputations comptable - Montant de Ecriture de stock br..."
"11","OD-2846","Paramétrage","Conserver","Paramétrage/Société/Sites-Donner la possibilité de sélectionner un type de site autre que chantier e..."
"12","OD-2780","Global","À définir","Server Error in '/' Application."
"13","OD-2769","Opérations","À définir","Opération/Achat/Expression Besoin - Effectuer des relances automatique dans un délai prédefini pour ..."
"14","OD-2765","Global","À définir","Impossible de créer une entité - Un message d'erreur affiche"
"15","OD-2721","Finance","À définir","Demande de vérification des droits utilisateurs.  Clôturer les années définitivement de sorte a ce q..."
"16","OD-2214","Global","À définir","Interface de génération du solde de tout compte"
"17","OD-2213","RH","À définir","Interface de paramétrage de rubrique pour les types de départ"
"18","OD-2212","RH","À définir","Interface de gestion de départ ou fin de contrat"
"19","OD-1913","RH","À définir","Intégration rapport de paie journalier (Côte d'Ivoire)"
"21","OD-1734","RH","À définir","CI : Prise en compte du nombre d'années d'ancienneté dans le stock de congés | Cas: Médaille d'honne..."
"22","OD-1669","Opérations","À définir","Stock - bordereaux- Intégration filtre sur article"
"23","OD-1588","Opérations","À définir","Rajouter au filtre, un champ Liste de choix pour permettre aux utilisateurs de filtrer sur les donné..."
"25","OD-1524","RH","À définir","Dans l’historique des frais de mission, rajouter dans la colonne action le bouton supprimer, afin de..."
"28","OD-1487","RH","À définir","Intégrer un rapport sur les paiements effectués"
"29","OD-1314","CRM","À définir","Extraction CRM OBC"
"33","OD-1244","CRM","À définir","si oui aller d'abord supprimer ces opportunités"
"34","OD-1243","CRM","À définir","S'assurer que le prospect n'a pas déjà fait objet d'une opportunité, sinon supprimer le prospect"
"35","OD-1242","CRM","À définir","si oui aller d'abord supprimer ces opportunités"
"36","OD-1241","CRM","À définir","Pour la suppression de ces , vérifier qu'elle ne sont pas utilisées par des opportunités, sinon supp..."
"37","OD-1240","CRM","À définir","si oui aller d'abord supprimer ces offres"
"38","OD-1239","CRM","À définir","Vérifier qu'une offre n'utilise pas des lots de ce programme sinon supprimer le programme"
"39","OD-1238","Opérations","À définir","Intégrer l'option de filtre par ordre sur les libellés des colonnes en historique des journaux (Ex: ..."
"40","OD-1176","Finance","À définir","Facture Vente - La liste des retenue sur avance ne se déverse pas"
"43","OD-1174","Finance","À définir","Créer les imputations comptables des effets de commerce"
"45","OD-1162","Opérations","À définir","Paramétrer la fonctionnalité de ventilation analytique directe par entité."
"46","OD-1155","Finance","À définir","Analyse générale sur la comptabilité  analytique"
"48","OD-1154","","Non identifié","Créer les accès et menu utilisateurs du sous-modules état financier"
"49","OD-890","","Non identifié","Intégrer les versions anglaises dans OBC"
"53","OD-889","","Non identifié","Générer un fichier avec tous les fields de OBC pour traduction en anglais"
"61","OD-888","","Non identifié","Version Anglaise OBC"
"62","OD-887","Finance","À définir","Création du nouveau motif pour le bordereau d'entrée lié au facture fournisseur/achat (Achat spot, a..."
"64","OD-886","Paramétrage","À définir","Automatisation du paramétrage et du support"
"65","OD-876","Finance","À définir","Impacter directement le stock à l'enregistrement de la facture vente requete pour un prospect."
"66","OD-861","Paramétrage","À définir","Stabilisation des tableaux de bord"
"69","OD-846","Finance","À définir","Comptabilité analytique"
"70","OD-756","Global","À définir","Revue du Dashboard de la page d'accueil d'OBC"
"82","OD-755","Paramétrage","À définir","Mise en place des alertes dans OBC"
"101","OD-754","Finance","À définir","Etat financier V1_Modèle Freemium OBC États Financiers (Donner la possibilité d'importer ses journau..."
"137","OD-753","Finance","À définir","Revoir le calcul des charges constatés d'avance dans le dashboard"
"203","OD-752","Opérations","À définir","Validation multiple bordereau de sortie"
"229","OD-749","RH","À définir","Finalisation RH V1 - Gestion des prêts pour la CIV"
"230","OD-748","Opérations","À définir","V2 : Lier les factures clients aux sorties de stocks, stock disponible à faire apparaitre"
"256","OD-747","Paiement","À définir","Intégration du mode de paiement à l'exécution d'un paiement"
"263","OD-744","CRM","À définir","Stabilisation CRM - Paramétrage BTP"
"283","OD-743","CRM","À définir","Stabilisation CRM - Activités commerciales"
"306","OD-742","CRM","À définir","Stabilisation CRM - Pilotage commercial"
"324","OD-741","CRM","À définir","Stabilisation CRM - Clients"
"332","OD-740","CRM","À définir","Stabilisation CRM - Offres BTP"
"337","OD-739","CRM","À définir","Stabilisation CRM - Offres"
"339","OD-738","Paramétrage","À définir","Stabilisation CRM - Paramétrage"
"341","OD-695","Finance","À définir","Alignement des soldes opérations vs comptabilité"
"343","OD-690","CRM","À définir","Stabilisation CRM"
"388","OD-689","Finance","À définir","Comptabilité"
"396","OD-688","RH","À définir","Finalisation RH V1"
"397","OD-687","Finance","À définir","Débours"
"424","OD-686","RH","À définir","RH V2"
"425","OD-685","Finance","À définir","Etats Financiers"